userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
blewson0,Operative,CA,academic magnet high school,north charleston,SC,2.89,2022,English,Computer Engineering,792,298,1,33,22,18,23,279,324,692,388,785,796,257,702,607,4
tfrancomb1,Distributed,OH,academy for information technology,scotch plains,NJ,2.22,2022,Biology,Creative Writing,514,387,5,36,33,24,34,247,537,462,594,690,490,262,560,209,2
pmacalpine2,systemic,NY,alpharetta high school,alpharetta,GA,3.13,2025,English,Sociology,720,459,24,21,29,20,13,532,757,493,537,323,212,327,728,386,3
lthreadgould3,Multi-layered,OR,aragon high school,san mateo,CA,3.42,2026,Computer Science,Psychology,299,505,25,21,15,27,27,312,459,704,267,724,749,720,211,798,7
lblagdon4,Face to face,AZ,arcadia high school,arcadia,OH,3.6,2024,Computer Science,Computer Engineering,505,568,23,36,36,12,23,241,251,270,265,775,525,636,517,237,1
amanske5,Enterprise-wide,FL,arizona college prep erie campus,chandler,AZ,2.4,2022,Computer Science,Creative Writing,334,326,29,15,35,29,27,546,558,647,216,521,678,519,750,356,9
ctadgell6,encoding,FL,ashley ridge high school,summerville,SC,3.84,2024,Mathematics,Sociology,588,588,2,32,18,8,17,687,681,616,460,558,313,463,355,515,1
ebenettolo7,Cross-platform,AL,baccalaureate school for global education,long island city,NY,3.2,2025,Computer Science,Psychology,208,212,18,29,12,8,32,284,305,794,513,736,232,737,243,519,6
apiscopello8,model,CA,bard high school early college,new york,NY,3.97,2025,Mathematics,Sociology,680,417,24,18,32,22,19,336,745,260,695,778,699,390,746,400,8
jzanetello9,system engine,AR,basis flagstaff,flagstaff,AZ,2.64,2026,Computer Science,Sociology,720,558,21,12,35,28,21,353,591,452,362,275,693,644,219,698,2
tmccaheya,5th generation,MD,basis tucson,north tucson,AZ,3.93,2025,Computer Science,Creative Writing,215,264,9,9,27,22,29,396,297,694,622,492,408,233,416,603,10
amartib,6th generation,KS,bayless senior high school,st louis,MO,3.37,2022,English,Creative Writing,442,521,13,1,35,30,21,311,484,799,603,568,503,356,260,461,0
mlehrc,strategy,AZ,bellevue high school,bellevue,WA,2.12,2023,Computer Science,Creative Writing,530,698,26,18,4,35,15,215,235,769,499,332,386,540,450,790,9
mdegregolid,toolset,CA,blair high school,pasadena,CA,2.39,2024,Biology,Creative Writing,580,750,9,32,11,31,33,532,287,471,525,341,394,345,485,793,9
aborsie,disintermediate,AZ,blue valley north high school,overland park,KS,2.77,2025,Biology,Psychology,776,726,9,7,5,4,26,597,497,495,301,428,775,541,234,687,7
ykirimaaf,Universal,MO,brighton high school,rochester,NY,3.76,2025,English,Psychology,351,379,11,9,1,3,10,445,466,752,292,708,457,629,776,512,5
ltongsg,Visionary,TX,bronx high school of science,bronx,NY,2.85,2022,Computer Science,Psychology,388,734,1,19,20,31,19,549,499,313,268,308,564,765,233,750,6
lthursfieldh,project,OH,brooklyn technical high school,brooklyn,NY,2.38,2026,Spanish,Sociology,276,669,35,6,31,36,19,259,439,367,717,751,742,287,567,552,2
irayntoni,service-desk,IL,campolindo high school,moraga,CA,3.76,2024,Computer Science,Sociology,289,247,4,33,34,4,36,521,248,289,542,574,325,209,405,454,1
gfirbyj,system engine,CA,canyon crest academy,san diego,CA,2.01,2023,Computer Science,Psychology,796,497,2,8,25,35,24,788,523,793,455,546,655,731,715,718,5
hfehnersk,optimal,MO,carrboro high school,carrboro,NC,2.98,2023,Biology,Creative Writing,391,331,5,12,20,8,27,684,421,342,590,540,778,240,456,280,8
sabrahaml,Stand-alone,TN,carroll senior high school,southlake,TX,3.5,2022,Computer Science,Sociology,497,430,25,13,12,23,19,425,683,762,729,554,683,732,445,641,0
kgiddonsm,intranet,TX,cedar key high school,cedar key,FL,3.17,2024,Mathematics,Sociology,468,504,13,34,31,13,10,788,343,258,306,638,457,790,262,413,5
mrudsdalen,Synchronised,TX,clements high school,sugar land,TX,2.64,2022,Mathematics,Psychology,428,772,17,17,3,30,1,783,481,209,695,249,238,360,243,306,9
vfowleyo,Implemented,AZ,columbia river high school,vancouver,WA,2.76,2025,Spanish,Sociology,287,697,32,20,4,17,29,442,400,549,708,416,586,334,232,516,5
jtenauntp,Monitored,DC,columbus high school,columbus,GA,3.75,2024,English,Creative Writing,722,651,24,23,5,23,25,609,386,270,321,302,379,201,607,271,0
jmaryetq,Secured,AL,commack high school,commack,NY,2.33,2022,Mathematics,Computer Engineering,533,698,15,12,23,9,13,695,573,771,496,568,459,336,550,521,2
